Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Antall stemmeberettigede;Godkjente stemmegivninger — Forhånd;Godkjente stemmegivninger - Valgting;Godkjente stemmegivninger - Totalt;Forkastede stemmegivninger - Forhånd;Forkastede stemmegivninger - Totalt;Godkjente stemmesedler - Forhånd;Godkjente stemmesedler - Valgting;Godkjente stemmesedler - Totalt;Forkastede stemmesedler - Forhånd;Forkastede stemmesedler - Totalt;Blanke stemmesedler - Forhånd;Blanke stemmesedler - Totalt;
01;Østfold;0101;Halden;;;23264;3423;13855;17278;3;43;3412;13875;17287;26;32;29;191;
01;Østfold;0104;Moss;;;23583;4750;13231;17981;8;51;4738;13237;17975;27;36;36;158;
01;Østfold;0105;Sarpsborg;;;40569;6873;22700;29573;4;29;6873;22710;29583;30;92;50;260;
01;Østfold;0106;Fredrikstad;;;59709;11568;32940;44508;11;66;11565;32966;44531;31;95;81;420;
01;Østfold;0111;Hvaler;;;3608;799;2068;2867;2;12;801;2067;2868;4;9;4;21;
01;Østfold;0118;Aremark;;;1098;162;745;907;0;0;166;745;911;0;0;1;3;
01;Østfold;0119;Marker;;;2815;616;1579;2195;0;3;615;1583;2198;1;6;2;12;
01;Østfold;0121;Rømskog;;;511;102;316;418;0;0;104;318;422;0;0;2;4;
01;Østfold;0122;Trøgstad;;;3888;790;2181;2971;0;0;789;2184;2973;1;5;6;25;
01;Østfold;0123;Spydeberg;;;4209;917;2329;3246;1;1;907;2327;3234;14;18;5;27;
01;Østfold;0124;Askim;;;11405;2949;5378;8327;6;6;2948;5381;8329;15;20;24;95;
01;Østfold;0125;Eidsberg;;;8247;1931;4127;6058;0;18;1937;4123;6060;0;1;23;57;
01;Østfold;0127;Skiptvet;;;2678;478;1530;2008;0;2;475;1532;2007;4;12;1;13;
01;Østfold;0128;Rakkestad;;;5964;772;3709;4481;1;8;761;3711;4472;13;20;6;31;
01;Østfold;0135;Råde;;;5405;855;3479;4334;0;16;843;3482;4325;20;34;6;40;
01;Østfold;0136;Rygge;;;11769;2418;6745;9163;6;17;2411;6759;9170;7;8;15;90;
01;Østfold;0137;Våler;;;3725;501;2451;2952;0;0;494;2452;2946;1;1;4;31;
01;Østfold;0138;Hobøl;;;3846;688;2347;3035;2;14;688;2343;3031;1;3;4;24;
02;Akershus;0211;Vestby;;;11932;2639;6889;9528;7;25;2638;6916;9554;4;18;16;75;
02;Akershus;0213;Ski;;;21100;4820;12246;17066;8;40;4815;12278;17093;10;22;20;90;
02;Akershus;0214;Ås;;;12996;3335;7260;10595;2;28;3336;7263;10599;7;13;22;78;
02;Akershus;0215;Frogn;;;11534;3580;6022;9602;2;15;3583;6024;9607;7;11;15;43;
