Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Antall stemmeberettigede;Godkjente stemmegivninger — Forhånd;Godkjente stemmegivninger - Valgting;Godkjente stemmegivninger - Totalt;Forkastede stemmegivninger - Forhånd;Forkastede stemmegivninger - Totalt;Godkjente stemmesedler - Forhånd;Godkjente stemmesedler - Valgting;Godkjente stemmesedler - Totalt;Forkastede stemmesedler - Forhånd;Forkastede stemmesedler - Totalt;Blanke stemmesedler - Forhånd;Blanke stemmesedler - Totalt;
02;Akershus;0216;Nesodden;;;13148;4845;6259;11104;0;9;4857;6256;11113;6;9;16;61;
02;Akershus;0217;Oppegård;;;19067;5426;10886;16312;0;15;5419;10882;16301;15;58;26;82;
02;Akershus;0219;Bærum;;;83315;35586;35241;70827;15;72;35600;35277;70877;113;144;147;271;
02;Akershus;0220;Asker;;;40966;14283;20295;34578;12;49;14280;20297;34577;3;15;45;118;
02;Akershus;0221;Aurskog-Høland;;;11694;2305;6790;9095;3;10;2306;6792;9098;0;8;15;91;
02;Akershus;0226;Sørum;;;11805;2087;7566;9653;18;35;2078;7588;9666;13;20;10;56;
02;Akershus;0227;Fet;;;7987;1603;4843;6446;1;4;1603;4844;6447;6;7;5;30;
02;Akershus;0228;Rælingen;;;12206;3491;6272;9763;1;16;3493;6276;9769;3;6;15;51;
02;Akershus;0229;Enebakk;;;7501;1556;4366;5922;0;0;1559;4371;5930;1;6;21;52;
02;Akershus;0230;Lørenskog;;;26595;6571;14206;20777;4;6;6566;14278;20844;48;58;32;126;
02;Akershus;0231;Skedsmo;;;37374;9614;19357;28971;9;34;9611;19371;28982;8;37;39;158;
02;Akershus;0233;Nittedal;;;16094;3692;9595;13287;2;19;3695;9606;13301;0;21;7;72;
02;Akershus;0234;Gjerdrum;;;4519;864;2840;3704;2;6;864;2847;3711;0;3;4;18;
02;Akershus;0235;Ullensaker;;;23693;7745;10420;18165;0;0;7731;10435;18166;36;39;49;156;
02;Akershus;0236;Nes;;;15471;3581;8299;11880;0;13;3579;8308;11887;3;8;12;71;
02;Akershus;0237;Eidsvoll;;;17368;3482;9650;13132;6;25;3482;9656;13138;15;39;26;110;
02;Akershus;0238;Nannestad;;;8625;1609;5007;6616;3;11;1606;5006;6612;3;8;15;52;
02;Akershus;0239;Hurdal;;;2151;630;998;1628;1;1;628;1000;1628;5;8;3;11;
03;Oslo;0301;Oslo;;;460108;178518;190252;368770;138;256;178520;190308;368828;192;273;734;1727;
04;Hedmark;0402;Kongsvinger;;;13775;3624;6486;10110;5;25;3639;6487;10126;4;11;33;83;
04;Hedmark;0403;Hamar;;;23271;6783;11776;18559;10;16;6783;11776;18559;25;41;42;137;
04;Hedmark;0412;Ringsaker;;;25476;6800;12067;18867;6;14;6801;12073;18874;1;13;51;148;
04;Hedmark;0415;Løten;;;5794;1185;3333;4518;5;23;1185;3331;4516;4;9;9;36;
04;Hedmark;0417;Stange;;;15353;3102;9179;12281;1;35;3099;9185;12284;7;28;18;88;
04;Hedmark;0418;Nord-Odal;;;4055;963;2077;3040;3;4;961;2078;3039;3;5;13;31;
04;Hedmark;0419;Sør-Odal;;;6126;1527;3063;4590;0;7;1525;3063;4588;6;7;8;40;
04;Hedmark;0420;Eidskog;;;4912;1442;2134;3576;0;0;1440;2136;3576;0;0;5;22;
04;Hedmark;0423;Grue;;;3846;758;2050;2808;0;0;669;2142;2811;0;0;6;17;
04;Hedmark;0425;Åsnes;;;5864;1590;2685;4275;1;16;1589;2685;4274;6;11;5;25;
04;Hedmark;0426;Våler;;;2960;870;1359;2229;4;6;868;1363;2231;5;5;2;13;
04;Hedmark;0427;Elverum;;;15914;3701;8410;12111;1;52;3694;8407;12101;19;33;30;112;
04;Hedmark;0428;Trysil;;;5019;1170;2751;3921;0;14;1169;2752;3921;3;6;6;19;
04;Hedmark;0429;Åmot;;;3409;925;1616;2541;3;9;921;1617;2538;10;12;13;35;
04;Hedmark;0430;Stor-Elvdal;;;1941;546;958;1504;0;4;546;958;1504;0;0;4;15;
04;Hedmark;0432;Rendalen;;;1459;331;867;1198;1;1;331;867;1198;1;1;2;6;
04;Hedmark;0434;Engerdal;;;997;253;574;827;0;0;253;574;827;0;0;0;1;
04;Hedmark;0436;Tolga;;;1186;228;758;986;0;0;228;758;986;0;0;1;1;
04;Hedmark;0437;Tynset;;;4037;949;2343;3292;0;8;951;2341;3292;0;0;4;10;
04;Hedmark;0438;Alvdal;;;1780;381;1065;1446;0;7;381;1065;1446;0;0;2;6;
04;Hedmark;0439;Folldal;;;1241;316;734;1050;0;0;316;734;1050;0;0;1;7;
04;Hedmark;0441;Os;;;1505;331;865;1196;1;3;331;865;1196;0;0;0;5;
05;Oppland;0501;Lillehammer;;;20970;6384;9960;16344;0;109;6375;9972;16347;8;19;27;111;
05;Oppland;0502;Gjøvik;;;22673;4542;12454;16996;2;11;4535;12469;17004;19;46;20;116;
05;Oppland;0511;Dovre;;;2059;531;972;1503;1;3;529;972;1501;3;3;6;9;
05;Oppland;0512;Lesja;;;1511;514;661;1175;0;2;512;661;1173;4;4;5;8;
05;Oppland;0513;Skjåk;;;1702;717;619;1336;1;1;717;619;1336;3;4;2;8;
05;Oppland;0514;Lom;;;1792;534;812;1346;0;0;532;810;1342;7;9;4;11;
05;Oppland;0515;Vågå;;;2812;808;1357;2165;0;3;808;1357;2165;0;0;3;14;
05;Oppland;0516;Nord-Fron;;;4409;1036;2239;3275;0;18;1035;2239;3274;1;1;5;16;
05;Oppland;0517;Sel;;;4587;1356;2038;3394;0;14;1356;2039;3395;5;8;7;15;
05;Oppland;0519;Sør-Fron;;;2334;447;1331;1778;0;9;447;1331;1778;0;0;1;8;
05;Oppland;0520;Ringebu;;;3360;762;1752;2514;0;4;761;1754;2515;2;2;3;10;
05;Oppland;0521;Øyer;;;3796;931;2054;2985;0;0;930;2054;2984;3;3;4;17;
05;Oppland;0522;Gausdal;;;4779;1478;2188;3666;0;3;1475;2188;3663;3;3;7;24;
05;Oppland;0528;Østre Toten;;;11316;2039;6627;8666;1;15;2034;6630;8664;5;17;13;71;
05;Oppland;0529;Vestre Toten;;;10174;1501;6120;7621;3;10;1501;6120;7621;4;23;9;73;
05;Oppland;0532;Jevnaker;;;4992;1258;2652;3910;2;22;1258;2654;3912;2;3;5;25;
05;Oppland;0533;Lunner;;;6604;1410;3967;5377;0;18;1408;3978;5386;3;7;5;29;
05;Oppland;0534;Gran;;;10308;2900;5077;7977;1;9;2898;5078;7976;17;38;10;45;
05;Oppland;0536;Søndre Land;;;4418;1046;2219;3265;1;1;1046;2219;3265;3;3;5;16;
05;Oppland;0538;Nordre Land;;;5220;1057;2706;3763;0;1;1057;2708;3765;0;0;4;18;
05;Oppland;0540;Sør-Aurdal;;;2326;431;1336;1767;2;5;432;1337;1769;4;4;5;15;
05;Oppland;0541;Etnedal;;;1005;337;445;782;0;0;336;445;781;2;2;2;5;
05;Oppland;0542;Nord-Aurdal;;;4932;1048;2595;3643;1;2;1047;2595;3642;7;10;2;15;
05;Oppland;0543;Vestre Slidre;;;1632;375;879;1254;0;1;374;880;1254;3;3;1;3;
05;Oppland;0544;Øystre Slidre;;;2378;491;1294;1785;0;0;491;1294;1785;1;3;3;11;
05;Oppland;0545;Vang;;;1132;382;517;899;0;0;383;517;900;0;0;0;4;
06;Buskerud;0602;Drammen;;;47816;17292;18994;36286;29;97;17288;18995;36283;63;93;89;215;
06;Buskerud;0604;Kongsberg;;;19585;4828;10574;15402;0;20;4818;10573;15391;27;41;33;119;
06;Buskerud;0605;Ringerike;;;22414;5845;10917;16762;4;29;5843;10921;16764;11;15;55;157;
06;Buskerud;0612;Hole;;;4696;1447;2378;3825;0;3;1445;2378;3823;6;7;10;20;
06;Buskerud;0615;Flå;;;791;221;386;607;0;0;221;386;607;0;0;1;5;
06;Buskerud;0616;Nes;;;2538;688;1223;1911;2;4;688;1223;1911;0;0;1;9;
06;Buskerud;0617;Gol;;;3275;977;1497;2474;1;1;976;1497;2473;1;1;2;11;
06;Buskerud;0618;Hemsedal;;;1514;458;753;1211;0;2;458;755;1213;1;2;1;2;
06;Buskerud;0619;Ål;;;3420;912;1893;2805;0;4;911;1893;2804;6;10;11;18;
06;Buskerud;0620;Hol;;;3226;980;1593;2573;0;2;979;1592;2571;5;5;6;14;
06;Buskerud;0621;Sigdal;;;2603;324;1707;2031;0;5;324;1697;2021;0;1;1;14;
06;Buskerud;0622;Krødsherad;;;1622;361;903;1264;1;1;358;902;1260;3;4;2;13;
06;Buskerud;0623;Modum;;;10328;2327;5439;7766;0;16;2329;5439;7768;1;4;9;63;
06;Buskerud;0624;Øvre Eiker;;;13251;2359;7781;10140;1;10;2359;7781;10140;2;5;13;70;
06;Buskerud;0625;Nedre Eiker;;;17290;4217;8649;12866;3;11;4215;8655;12870;2;24;30;102;
06;Buskerud;0626;Lier;;;17694;4480;9813;14293;8;42;4484;9827;14311;4;33;20;69;
06;Buskerud;0627;Røyken;;;14886;3332;8843;12175;2;20;3327;8847;12174;12;34;16;78;
06;Buskerud;0628;Hurum;;;6841;2038;3427;5465;0;12;2039;3428;5467;1;1;15;36;
06;Buskerud;0631;Flesberg;;;1956;351;1127;1478;0;0;351;1127;1478;7;7;5;8;
06;Buskerud;0632;Rollag;;;1084;173;687;860;0;2;173;687;860;1;1;0;2;
06;Buskerud;0633;Nore og Uvdal;;;1890;321;1127;1448;0;6;321;1128;1449;0;0;2;20;
07;Vestfold;0701;Horten;;;19981;5779;9671;15450;1;13;5778;9679;15457;10;18;29;121;
07;Vestfold;0702;Holmestrand;;;8108;1906;4399;6305;2;8;1908;4398;6306;1;2;11;41;
07;Vestfold;0704;Tønsberg;;;33140;7019;19024;26043;3;65;7023;19049;26072;13;31;35;177;
07;Vestfold;0709;Larvik;;;32921;6655;18573;25228;6;44;6651;18577;25228;9;24;44;169;
07;Vestfold;0710;Sandefjord;;;44901;11655;22537;34192;1;1;11652;22563;34215;37;37;82;226;
07;Vestfold;0711;Svelvik;;;4873;1082;2557;3639;0;3;1085;2565;3650;3;3;10;36;
07;Vestfold;0713;Sande;;;6785;1776;3670;5446;4;8;1776;3674;5450;2;5;9;39;
07;Vestfold;0714;Hof;;;2303;526;1271;1797;0;0;526;1273;1799;0;0;6;11;
07;Vestfold;0716;Re;;;6831;1226;4154;5380;1;6;1225;4154;5379;3;6;13;44;
07;Vestfold;0722;Nøtterøy;;;16123;4050;8895;12945;5;5;4041;8896;12937;25;40;29;88;
07;Vestfold;0723;Tjøme;;;3817;1413;1611;3024;1;8;1411;1610;3021;5;14;13;34;
07;Vestfold;0728;Lardal;;;1829;347;1064;1411;1;1;348;1064;1412;2;2;5;12;
08;Telemark;0805;Porsgrunn;;;27248;5580;14882;20462;11;11;5569;14896;20465;44;57;37;155;
08;Telemark;0806;Skien;;;40581;8965;21090;30055;1;15;8952;21147;30099;45;86;41;203;
08;Telemark;0807;Notodden;;;9401;2152;4896;7048;1;9;2150;4898;7048;2;3;6;35;
08;Telemark;0811;Siljan;;;1766;388;1017;1405;2;2;388;1017;1405;0;0;2;4;
08;Telemark;0814;Bamble;;;10751;2037;6154;8191;2;22;2034;6153;8187;8;24;15;57;
08;Telemark;0815;Kragerø;;;8050;2007;4126;6133;0;4;2009;4130;6139;0;0;7;19;
08;Telemark;0817;Drangedal;;;3097;603;1757;2360;0;1;601;1757;2358;3;4;1;8;
08;Telemark;0819;Nome;;;4938;826;2908;3734;0;4;829;2906;3735;0;0;5;27;
08;Telemark;0821;Bø;;;4455;1261;1987;3248;2;9;1256;1990;3246;7;11;1;12;
08;Telemark;0822;Sauherad;;;3211;488;1927;2415;1;10;494;1928;2422;7;7;0;6;
08;Telemark;0826;Tinn;;;4393;1064;2247;3311;0;7;1067;2249;3316;11;11;15;35;
08;Telemark;0827;Hjartdal;;;1204;213;750;963;0;1;213;743;956;1;1;0;6;
08;Telemark;0828;Seljord;;;2208;422;1246;1668;0;0;422;1246;1668;3;3;0;12;
08;Telemark;0829;Kviteseid;;;1886;358;996;1354;1;4;355;997;1352;4;4;1;10;
08;Telemark;0830;Nissedal;;;1083;319;543;862;1;1;320;544;864;2;3;2;3;
08;Telemark;0831;Fyresdal;;;964;264;503;767;0;4;245;503;748;2;2;2;5;
08;Telemark;0833;Tokke;;;1705;364;986;1350;1;6;361;986;1347;3;3;1;8;
08;Telemark;0834;Vinje;;;2771;647;1495;2142;0;2;642;1495;2137;17;21;10;20;
09;Aust-Agder;0901;Risør;;;5275;1178;2861;4039;4;17;1179;2861;4040;7;15;7;25;
09;Aust-Agder;0904;Grimstad;;;15968;4827;7541;12368;1;12;4824;7541;12365;6;17;21;59;
09;Aust-Agder;0906;Arendal;;;32534;9130;15778;24908;31;63;9136;15791;24927;6;11;47;128;
09;Aust-Agder;0911;Gjerstad;;;1865;411;1015;1426;1;1;407;1015;1422;7;11;2;7;
09;Aust-Agder;0912;Vegårshei;;;1491;339;888;1227;1;1;337;888;1225;2;2;3;8;
09;Aust-Agder;0914;Tvedestrand;;;4498;1312;2160;3472;1;7;1309;2158;3467;3;7;4;9;
09;Aust-Agder;0919;Froland;;;4119;885;2215;3100;5;5;885;2216;3101;2;2;8;20;
09;Aust-Agder;0926;Lillesand;;;7707;2071;4106;6177;0;23;2068;4107;6175;5;6;10;28;
09;Aust-Agder;0928;Birkenes;;;3605;1013;1689;2702;2;3;1014;1690;2704;6;11;5;14;
09;Aust-Agder;0929;Åmli;;;1332;257;802;1059;0;4;257;804;1061;0;0;0;4;
09;Aust-Agder;0935;Iveland;;;933;179;576;755;0;0;178;576;754;1;1;1;7;
09;Aust-Agder;0937;Evje og Hornnes;;;2587;593;1359;1952;0;0;585;1359;1944;9;10;4;13;
09;Aust-Agder;0938;Bygland;;;934;198;535;733;0;0;198;535;733;0;0;0;3;
09;Aust-Agder;0940;Valle;;;910;237;419;656;2;2;237;420;657;0;3;0;3;
09;Aust-Agder;0941;Bykle;;;668;192;343;535;0;4;191;343;534;1;1;3;5;
10;Vest-Agder;1001;Kristiansand;;;64351;15199;34215;49414;4;98;15192;34256;49448;63;100;68;259;
10;Vest-Agder;1002;Mandal;;;11327;2910;5782;8692;10;22;2906;5785;8691;15;25;12;40;
10;Vest-Agder;1003;Farsund;;;7028;2303;3102;5405;3;12;2302;3104;5406;9;16;12;33;
10;Vest-Agder;1004;Flekkefjord;;;6512;1669;3220;4889;0;0;1669;3220;4889;0;1;11;20;
10;Vest-Agder;1014;Vennesla;;;10326;1638;6260;7898;0;18;1639;6262;7901;0;0;3;35;
10;Vest-Agder;1017;Songdalen;;;4508;691;2682;3373;0;1;693;2682;3375;1;4;2;21;
10;Vest-Agder;1018;Søgne;;;8146;3012;3347;6359;8;12;3010;3347;6357;12;12;9;30;
10;Vest-Agder;1021;Marnardal;;;1668;362;958;1320;1;8;362;958;1320;0;1;0;1;
10;Vest-Agder;1026;Åseral;;;661;147;383;530;0;0;147;383;530;0;0;2;4;
10;Vest-Agder;1027;Audnedal;;;1227;183;823;1006;0;0;183;823;1006;0;1;0;3;
10;Vest-Agder;1029;Lindesnes;;;3456;833;1848;2681;5;15;829;1848;2677;5;12;2;10;
10;Vest-Agder;1032;Lyngdal;;;5721;1496;2968;4464;8;15;1497;2970;4467;0;0;1;11;
10;Vest-Agder;1034;Hægebostad;;;1229;171;836;1007;0;0;171;837;1008;0;0;0;1;
10;Vest-Agder;1037;Kvinesdal;;;4249;1263;2074;3337;1;1;1263;2075;3338;5;6;3;5;
10;Vest-Agder;1046;Sirdal;;;1275;418;598;1016;0;2;421;598;1019;0;2;3;4;
11;Rogaland;1101;Eigersund;;;10609;2691;5374;8065;1;11;2692;5378;8070;7;18;11;42;
11;Rogaland;1102;Sandnes;;;49899;10861;27888;38749;23;118;10859;27933;38792;60;136;75;268;
11;Rogaland;1103;Stavanger;;;90232;16766;53899;70665;1;93;16738;53935;70673;54;69;96;396;
11;Rogaland;1106;Haugesund;;;25918;9012;10762;19774;37;51;9001;10770;19771;18;26;52;117;
11;Rogaland;1111;Sokndal;;;2443;526;1445;1971;0;0;526;1445;1971;0;2;1;13;
11;Rogaland;1112;Lund;;;2335;525;1292;1817;0;0;525;1304;1829;0;0;2;5;
11;Rogaland;1114;Bjerkreim;;;1914;354;1217;1571;0;1;353;1217;1570;1;1;1;6;
11;Rogaland;1119;Hå;;;12159;3396;6404;9800;4;18;3394;6410;9804;15;20;11;42;
11;Rogaland;1120;Klepp;;;12759;3378;6855;10233;0;14;3380;6857;10237;0;1;16;56;
11;Rogaland;1121;Time;;;12884;3023;7488;10511;3;3;3021;7489;10510;9;20;21;62;
11;Rogaland;1122;Gjesdal;;;7762;2064;4111;6175;3;7;2071;4111;6182;6;11;10;35;
11;Rogaland;1124;Sola;;;17124;5075;8807;13882;2;25;5074;8813;13887;8;20;22;77;
11;Rogaland;1127;Randaberg;;;7477;2222;3885;6107;6;6;2222;3887;6109;4;8;16;44;
11;Rogaland;1129;Forsand;;;823;179;527;706;1;2;179;527;706;0;0;0;2;
11;Rogaland;1130;Strand;;;8710;1642;5106;6748;1;11;1641;5109;6750;7;10;8;29;
11;Rogaland;1133;Hjelmeland;;;1791;400;1058;1458;1;2;398;1060;1458;2;3;0;4;
11;Rogaland;1134;Suldal;;;2703;547;1641;2188;0;3;547;1657;2204;0;0;3;11;
11;Rogaland;1135;Sauda;;;3506;948;1739;2687;1;2;948;1739;2687;1;3;10;22;
11;Rogaland;1141;Finnøy;;;2112;468;1320;1788;0;1;468;1320;1788;2;3;6;8;
11;Rogaland;1142;Rennesøy;;;3169;529;2085;2614;1;12;529;2085;2614;0;0;3;15;
11;Rogaland;1144;Kvitsøy;;;391;82;258;340;0;0;82;258;340;0;1;2;3;
11;Rogaland;1145;Bokn;;;623;173;347;520;0;0;174;347;521;1;1;2;7;
11;Rogaland;1146;Tysvær;;;7618;2328;3864;6192;0;5;2328;3865;6193;14;27;12;31;
11;Rogaland;1149;Karmøy;;;30119;9264;13785;23049;0;30;9261;13793;23054;3;22;43;124;
11;Rogaland;1151;Utsira;;;146;67;69;136;0;0;67;69;136;0;0;1;1;
11;Rogaland;1160;Vindafjord;;;5937;1243;3452;4695;2;13;1241;3451;4692;3;12;2;20;
12;Hordaland;1201;Bergen;;;200037;76165;87434;163599;49;273;76163;87482;163645;356;581;562;1205;
12;Hordaland;1211;Etne;;;2853;709;1572;2281;0;4;708;1573;2281;4;5;3;7;
12;Hordaland;1216;Sveio;;;3859;1174;1961;3135;0;1;1175;1961;3136;1;2;8;22;
12;Hordaland;1219;Bømlo;;;8259;2290;4445;6735;0;0;2287;4446;6733;6;13;13;29;
12;Hordaland;1221;Stord;;;13299;4240;6300;10540;0;45;4240;6305;10545;5;6;33;80;
12;Hordaland;1222;Fitjar;;;2239;545;1325;1870;1;12;545;1325;1870;1;2;1;4;
12;Hordaland;1223;Tysnes;;;2137;629;1056;1685;0;2;629;1056;1685;4;5;5;8;
12;Hordaland;1224;Kvinnherad;;;9787;3181;4123;7304;0;0;3175;4122;7297;25;30;19;44;
12;Hordaland;1227;Jondal;;;828;231;470;701;0;7;231;471;702;0;3;1;4;
12;Hordaland;1228;Odda;;;5195;1651;2300;3951;1;8;1650;2301;3951;3;3;20;30;
12;Hordaland;1231;Ullensvang;;;2465;940;1044;1984;0;3;941;1046;1987;4;4;2;10;
12;Hordaland;1232;Eidfjord;;;709;230;338;568;0;0;232;338;570;0;0;0;1;
12;Hordaland;1233;Ulvik;;;793;324;339;663;0;0;324;339;663;0;0;4;4;
12;Hordaland;1234;Granvin;;;716;222;366;588;0;3;223;366;589;0;0;1;2;
12;Hordaland;1235;Voss;;;10735;2858;5662;8520;2;21;2839;5663;8502;16;19;16;55;
12;Hordaland;1238;Kvam;;;6071;1626;3302;4928;0;6;1627;3302;4929;7;7;9;21;
12;Hordaland;1241;Fusa;;;2792;746;1487;2233;0;8;746;1486;2232;5;5;3;6;
12;Hordaland;1242;Samnanger;;;1845;394;1085;1479;0;1;395;1069;1464;0;0;3;15;
12;Hordaland;1243;Os;;;13850;4330;6924;11254;31;52;4327;6927;11254;3;10;20;65;
12;Hordaland;1244;Austevoll;;;3434;1026;1830;2856;1;16;1024;1831;2855;11;11;2;16;
12;Hordaland;1245;Sund;;;4788;1092;2733;3825;0;6;1091;2734;3825;0;1;6;30;
12;Hordaland;1246;Fjell;;;17694;5333;9036;14369;3;41;5329;9042;14371;27;38;36;109;
12;Hordaland;1247;Askøy;;;19907;5839;10251;16090;0;25;5839;10257;16096;24;28;40;147;
12;Hordaland;1251;Vaksdal;;;3002;954;1406;2360;0;3;956;1406;2362;2;6;9;19;
12;Hordaland;1252;Modalen;;;266;43;170;213;0;0;43;170;213;0;1;0;1;
12;Hordaland;1253;Osterøy;;;5735;1658;3004;4662;0;0;1660;3003;4663;1;3;11;28;
12;Hordaland;1256;Meland;;;5468;1498;3029;4527;2;3;1497;3029;4526;1;5;7;23;
12;Hordaland;1259;Øygarden;;;3397;1180;1617;2797;1;4;1180;1618;2798;1;5;9;19;
12;Hordaland;1260;Radøy;;;3582;776;2129;2905;1;1;771;2129;2900;4;6;3;10;
12;Hordaland;1263;Lindås;;;11137;2784;6199;8983;3;24;2773;6205;8978;24;32;16;57;
12;Hordaland;1264;Austrheim;;;2015;612;1017;1629;0;11;612;1017;1629;2;3;2;6;
12;Hordaland;1265;Fedje;;;420;161;205;366;0;0;161;205;366;0;1;0;1;
12;Hordaland;1266;Masfjorden;;;1270;456;605;1061;0;1;456;605;1061;0;0;2;3;
14;Sogn og Fjordane;1401;Flora;;;8455;2087;4331;6418;5;5;2087;4333;6420;4;4;19;61;
14;Sogn og Fjordane;1411;Gulen;;;1708;499;877;1376;0;3;499;877;1376;0;0;0;4;
14;Sogn og Fjordane;1412;Solund;;;589;230;222;452;6;7;230;222;452;0;0;0;0;
14;Sogn og Fjordane;1413;Hyllestad;;;1020;391;413;804;0;0;393;411;804;2;2;5;7;
14;Sogn og Fjordane;1416;Høyanger;;;3080;697;1717;2414;1;5;694;1716;2410;3;3;10;18;
14;Sogn og Fjordane;1417;Vik;;;1975;440;1091;1531;0;0;441;1091;1532;0;0;3;7;
14;Sogn og Fjordane;1418;Balestrand;;;893;269;472;741;0;4;269;472;741;0;0;2;5;
14;Sogn og Fjordane;1419;Leikanger;;;1695;450;1021;1471;0;1;449;1021;1470;1;1;3;7;
14;Sogn og Fjordane;1420;Sogndal;;;5691;1596;3014;4610;2;35;1594;3015;4609;4;6;9;25;
14;Sogn og Fjordane;1421;Aurland;;;1302;380;650;1030;0;2;380;650;1030;0;0;1;3;
14;Sogn og Fjordane;1422;Lærdal;;;1575;393;857;1250;0;1;398;855;1253;1;1;3;6;
14;Sogn og Fjordane;1424;Årdal;;;4054;998;2213;3211;0;4;993;2213;3206;9;20;4;9;
14;Sogn og Fjordane;1426;Luster;;;3791;972;2145;3117;0;2;972;2145;3117;0;0;4;11;
14;Sogn og Fjordane;1428;Askvoll;;;2301;657;1202;1859;2;3;656;1202;1858;1;7;2;4;
14;Sogn og Fjordane;1429;Fjaler;;;1953;446;1102;1548;0;0;445;1102;1547;3;4;4;6;
14;Sogn og Fjordane;1430;Gaular;;;2106;567;1170;1737;0;5;567;1169;1736;3;5;7;9;
14;Sogn og Fjordane;1431;Jølster;;;2126;512;1226;1738;5;8;516;1225;1741;5;5;1;7;
14;Sogn og Fjordane;1432;Førde;;;9067;2565;4642;7207;1;6;2561;4644;7205;6;10;18;36;
14;Sogn og Fjordane;1433;Naustdal;;;2070;475;1175;1650;0;2;472;1176;1648;3;3;4;7;
14;Sogn og Fjordane;1438;Bremanger;;;2675;682;1402;2084;0;5;679;1402;2081;3;5;5;8;
14;Sogn og Fjordane;1439;Vågsøy;;;4266;1232;2064;3296;1;1;1233;2067;3300;7;13;3;18;
14;Sogn og Fjordane;1441;Selje;;;2098;494;1151;1645;2;10;493;1152;1645;1;1;0;7;
14;Sogn og Fjordane;1443;Eid;;;4352;1216;2225;3441;0;12;1217;2225;3442;2;2;4;24;
14;Sogn og Fjordane;1444;Hornindal;;;884;217;503;720;0;1;216;503;719;1;1;0;6;
14;Sogn og Fjordane;1445;Gloppen;;;4232;1128;2367;3495;6;11;1128;2366;3494;1;1;5;10;
14;Sogn og Fjordane;1449;Stryn;;;4735;953;2661;3614;1;12;954;2661;3615;2;2;4;14;
15;Møre og Romsdal;1502;Molde;;;19475;5653;9777;15430;0;22;5649;9778;15427;7;10;34;75;
15;Møre og Romsdal;1504;Ålesund;;;33387;11673;14106;25779;5;114;11665;14107;25772;14;21;61;152;
15;Møre og Romsdal;1505;Kristiansund;;;17971;4631;8377;13008;3;3;4645;8382;13027;2;23;30;106;
15;Møre og Romsdal;1511;Vanylven;;;2523;711;1274;1985;0;1;711;1274;1985;0;0;5;10;
15;Møre og Romsdal;1514;Sande;;;1727;366;1023;1389;0;6;366;1024;1390;0;0;1;8;
