Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;0105;Sarpsborg;;;PP;Pensjonistpartiet;1,2;40569;109;243;352;0,2;-0,8;
01;Østfold;0105;Sarpsborg;;;BLANKE;Blanke;0,9;40569;50;210;260;0,3;-0,3;
01;Østfold;0106;Fredrikstad;;;A;Arbeiderpartiet;35,4;59709;4110;11502;15612;-2,2;-11,9;
01;Østfold;0106;Fredrikstad;;;SV;Sosialistisk Venstreparti;5;59709;598;1602;2200;2,5;2,2;
01;Østfold;0106;Fredrikstad;;;RØDT;Rødt;2,1;59709;331;617;948;1,4;0,9;
01;Østfold;0106;Fredrikstad;;;SP;Senterpartiet;4,7;59709;445;1633;2078;3;1,7;
01;Østfold;0106;Fredrikstad;;;KRF;Kristelig Folkeparti;3,9;59709;376;1340;1716;-1,2;-0,9;
01;Østfold;0106;Fredrikstad;;;MDG;Miljøpartiet De Grønne;3,2;59709;523;891;1414;0,8;-1,6;
01;Østfold;0106;Fredrikstad;;;V;Venstre;2,5;59709;312;806;1118;-1,1;-0,5;
01;Østfold;0106;Fredrikstad;;;H;Høyre;23,7;59709;2619;7852;10471;-2;5,3;
01;Østfold;0106;Fredrikstad;;;FRP;Fremskrittspartiet;17;59709;1863;5632;7495;-1,8;5,1;
01;Østfold;0106;Fredrikstad;;;ALLI;Alliansen;0,2;59709;27;46;73;0,2;0,2;
01;Østfold;0106;Fredrikstad;;;DEMN;Demokratene i Norge;0,1;59709;15;25;40;0;-0,1;
01;Østfold;0106;Fredrikstad;;;HELSE;Helsepartiet;0,5;59709;57;154;211;0,5;0,5;
01;Østfold;0106;Fredrikstad;;;KRISTNE;Partiet De Kristne;0,3;59709;33;88;121;-0,3;-0,3;
01;Østfold;0106;Fredrikstad;;;KYST;Kystpartiet;0,1;59709;8;25;33;0;-0,2;
01;Østfold;0106;Fredrikstad;;;LIBS;Liberalistene;0,2;59709;20;73;93;0,2;0,2;
01;Østfold;0106;Fredrikstad;;;PP;Pensjonistpartiet;1,1;59709;147;341;488;0,3;-0,2;
01;Østfold;0106;Fredrikstad;;;BLANKE;Blanke;1;59709;81;339;420;0,4;-0,5;
01;Østfold;0111;Hvaler;;;A;Arbeiderpartiet;29,4;3608;198;638;836;-3;-7,5;
01;Østfold;0111;Hvaler;;;SV;Sosialistisk Venstreparti;4,5;3608;34;94;128;1,5;1,5;
01;Østfold;0111;Hvaler;;;RØDT;Rødt;2,7;3608;21;57;78;1,9;1,8;
01;Østfold;0111;Hvaler;;;SP;Senterpartiet;6,7;3608;49;143;192;5,1;3;
01;Østfold;0111;Hvaler;;;KRF;Kristelig Folkeparti;2,6;3608;20;54;74;-1;-0,8;
01;Østfold;0111;Hvaler;;;MDG;Miljøpartiet De Grønne;2,5;3608;26;44;70;0,3;-3,9;
01;Østfold;0111;Hvaler;;;V;Venstre;2,6;3608;25;49;74;-1,4;0,3;
01;Østfold;0111;Hvaler;;;H;Høyre;27,2;3608;233;540;773;-1,4;5,5;
01;Østfold;0111;Hvaler;;;FRP;Fremskrittspartiet;20,2;3608;180;394;574;-2,4;0,1;
01;Østfold;0111;Hvaler;;;ALLI;Alliansen;0,1;3608;2;1;3;0,1;0,1;
01;Østfold;0111;Hvaler;;;DEMN;Demokratene i Norge;0,1;3608;0;3;3;0;0,1;
01;Østfold;0111;Hvaler;;;HELSE;Helsepartiet;0,7;3608;3;16;19;0,7;0,7;
01;Østfold;0111;Hvaler;;;KRISTNE;Partiet De Kristne;0,2;3608;1;5;6;-0,2;-0,1;
01;Østfold;0111;Hvaler;;;KYST;Kystpartiet;0,1;3608;0;3;3;0,1;0;
01;Østfold;0111;Hvaler;;;LIBS;Liberalistene;0;3608;0;0;0;0;0;
01;Østfold;0111;Hvaler;;;PP;Pensjonistpartiet;0,5;3608;5;9;14;0,3;-0,2;
01;Østfold;0111;Hvaler;;;BLANKE;Blanke;0,7;3608;4;17;21;0,6;-0,6;
01;Østfold;0118;Aremark;;;A;Arbeiderpartiet;18,8;1098;38;133;171;-9,4;-8,4;
01;Østfold;0118;Aremark;;;SV;Sosialistisk Venstreparti;1,7;1098;0;15;15;-0,2;1,1;
01;Østfold;0118;Aremark;;;RØDT;Rødt;0,8;1098;2;5;7;0,8;0,3;
01;Østfold;0118;Aremark;;;SP;Senterpartiet;38,2;1098;55;292;347;17;11,1;
01;Østfold;0118;Aremark;;;KRF;Kristelig Folkeparti;9,1;1098;15;68;83;-0,4;-3,1;
01;Østfold;0118;Aremark;;;MDG;Miljøpartiet De Grønne;1,9;1098;8;9;17;-0,6;-2,2;
01;Østfold;0118;Aremark;;;V;Venstre;1,1;1098;0;10;10;-1,9;-0,7;
01;Østfold;0118;Aremark;;;H;Høyre;15,1;1098;24;113;137;-0,9;-4,3;
01;Østfold;0118;Aremark;;;FRP;Fremskrittspartiet;11,2;1098;18;84;102;-3,6;7,3;
01;Østfold;0118;Aremark;;;ALLI;Alliansen;0;1098;0;0;0;0;0;
01;Østfold;0118;Aremark;;;DEMN;Demokratene i Norge;0,1;1098;0;1;1;0,1;0;
01;Østfold;0118;Aremark;;;HELSE;Helsepartiet;0,3;1098;2;1;3;0,3;0,3;
01;Østfold;0118;Aremark;;;KRISTNE;Partiet De Kristne;1;1098;2;7;9;-0,5;-0,3;
01;Østfold;0118;Aremark;;;KYST;Kystpartiet;0,1;1098;0;1;1;0;0,1;
01;Østfold;0118;Aremark;;;LIBS;Liberalistene;0,2;1098;0;2;2;0,2;0,2;
01;Østfold;0118;Aremark;;;PP;Pensjonistpartiet;0,3;1098;1;2;3;-0,4;-0,4;
01;Østfold;0118;Aremark;;;BLANKE;Blanke;0,3;1098;1;2;3;-0,2;-2,3;
01;Østfold;0119;Marker;;;A;Arbeiderpartiet;31,4;2815;216;470;686;-5,3;-7,1;
